dataset,rerank,sledge,model,timestamp,total,successes,success_rate,median_time_all_s,median_time_success_s,avg_depth,source_path
lists,off,off,litellm_ollama_qwen2.5-coder_7b,20260524-011141,18,16,88.9,13.2,13.08,1.0,datasets/results/20260524-011141-lists-rerank_off__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
lists,on,off,litellm_ollama_qwen2.5-coder_7b,20260518-151519,18,16,88.9,13.69,13.51,1.0,archives/20260524_000931/prover_results_old/20260518-151519-lists-rerank_on__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
lists,on,off,litellm_ollama_qwen2.5-coder_7b,20260524-011948,18,16,88.9,13.99,13.85,1.06,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-011948-lists-rerank_on__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
lists,on,off,litellm_ollama_qwen2.5-coder_7b,20260524-011948,18,16,88.9,13.99,13.85,1.06,datasets/results/20260524-011948-lists-rerank_on__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
lists,off,on,litellm_ollama_qwen2.5-coder_7b,20260518-134932,18,17,94.4,17.35,17.28,1.0,archives/20260524_000931/prover_results_old/20260518-134932-lists-rerank_off__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
lists,off,on,litellm_ollama_qwen2.5-coder_7b,20260524-012708,18,17,94.4,16.91,16.86,1.0,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-012708-lists-rerank_off__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
lists,off,on,litellm_ollama_qwen2.5-coder_7b,20260524-012708,18,17,94.4,16.91,16.86,1.0,datasets/results/20260524-012708-lists-rerank_off__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
lists,on,on,litellm_ollama_qwen2.5-coder_7b,20260518-135622,18,17,94.4,16.51,16.47,1.0,archives/20260524_000931/prover_results_old/20260518-135622-lists-rerank_on__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
lists,on,on,litellm_ollama_qwen2.5-coder_7b,20260524-013357,18,17,94.4,15.54,15.51,1.0,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-013357-lists-rerank_on__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
lists,on,on,litellm_ollama_qwen2.5-coder_7b,20260524-013357,18,17,94.4,15.54,15.51,1.0,datasets/results/20260524-013357-lists-rerank_on__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
logic,off,off,litellm_ollama_qwen2.5-coder_7b,20260518-143313,5,4,80.0,13.59,13.29,1.0,archives/20260524_000931/prover_results_old/20260518-143313-logic-rerank_off__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
logic,off,off,litellm_ollama_qwen2.5-coder_7b,20260524-001359,5,5,100.0,13.63,13.63,1.0,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-001359-logic-rerank_off__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
logic,off,off,litellm_ollama_qwen2.5-coder_7b,20260524-001359,5,5,100.0,13.63,13.63,1.0,datasets/results/20260524-001359-logic-rerank_off__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
logic,on,off,litellm_ollama_qwen2.5-coder_7b,20260518-143424,5,5,100.0,13.42,13.42,1.0,archives/20260524_000931/prover_results_old/20260518-143424-logic-rerank_on__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
logic,on,off,litellm_ollama_qwen2.5-coder_7b,20260524-001511,5,5,100.0,13.83,13.83,1.0,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-001511-logic-rerank_on__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
logic,on,off,litellm_ollama_qwen2.5-coder_7b,20260524-001511,5,5,100.0,13.83,13.83,1.0,datasets/results/20260524-001511-logic-rerank_on__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
logic,off,on,litellm_ollama_qwen2.5-coder_7b,20260518-132743,5,5,100.0,16.23,16.23,1.0,archives/20260524_000931/prover_results_old/20260518-132743-logic-rerank_off__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
logic,off,on,litellm_ollama_qwen2.5-coder_7b,20260524-001647,5,5,100.0,15.87,15.87,1.0,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-001647-logic-rerank_off__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
logic,off,on,litellm_ollama_qwen2.5-coder_7b,20260524-001647,5,5,100.0,15.87,15.87,1.0,datasets/results/20260524-001647-logic-rerank_off__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
logic,on,on,litellm_ollama_qwen2.5-coder_7b,20260518-132906,5,5,100.0,16.38,16.38,1.0,archives/20260524_000931/prover_results_old/20260518-132906-logic-rerank_on__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
logic,on,on,litellm_ollama_qwen2.5-coder_7b,20260524-001807,5,5,100.0,15.7,15.7,1.0,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-001807-logic-rerank_on__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
logic,on,on,litellm_ollama_qwen2.5-coder_7b,20260524-001807,5,5,100.0,15.7,15.7,1.0,datasets/results/20260524-001807-logic-rerank_on__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
nat,off,off,litellm_ollama_qwen2.5-coder_7b,20260518-145034,9,1,11.1,47.1,12.86,1.0,archives/20260524_000931/prover_results_old/20260518-145034-nat-rerank_off__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
nat,off,off,litellm_ollama_qwen2.5-coder_7b,20260524-003019,9,2,22.2,98.77,25.28,1.0,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-003019-nat-rerank_off__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
nat,off,off,litellm_ollama_qwen2.5-coder_7b,20260524-003019,9,2,22.2,98.77,25.28,1.0,datasets/results/20260524-003019-nat-rerank_off__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
nat,on,off,litellm_ollama_qwen2.5-coder_7b,20260518-145922,9,2,22.2,46.33,24.01,1.0,archives/20260524_000931/prover_results_old/20260518-145922-nat-rerank_on__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
nat,on,off,litellm_ollama_qwen2.5-coder_7b,20260524-004213,9,2,22.2,95.48,33.47,1.0,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-004213-nat-rerank_on__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
nat,on,off,litellm_ollama_qwen2.5-coder_7b,20260524-004213,9,2,22.2,95.48,33.47,1.0,datasets/results/20260524-004213-nat-rerank_on__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
nat,off,on,litellm_ollama_qwen2.5-coder_7b,20260518-133407,9,4,44.4,31.07,27.72,1.0,archives/20260524_000931/prover_results_old/20260518-133407-nat-rerank_off__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
nat,off,on,litellm_ollama_qwen2.5-coder_7b,20260524-005309,9,4,44.4,85.32,34.67,1.0,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-005309-nat-rerank_off__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
nat,off,on,litellm_ollama_qwen2.5-coder_7b,20260524-005309,9,4,44.4,85.32,34.67,1.0,datasets/results/20260524-005309-nat-rerank_off__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
nat,on,on,litellm_ollama_qwen2.5-coder_7b,20260518-133825,9,4,44.4,30.83,25.15,1.0,archives/20260524_000931/prover_results_old/20260518-133825-nat-rerank_on__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
nat,on,on,litellm_ollama_qwen2.5-coder_7b,20260524-010355,9,4,44.4,85.71,34.86,1.0,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-010355-nat-rerank_on__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
nat,on,on,litellm_ollama_qwen2.5-coder_7b,20260524-010355,9,4,44.4,85.71,34.86,1.0,datasets/results/20260524-010355-nat-rerank_on__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
sets,off,off,litellm_ollama_qwen2.5-coder_7b,20260518-152052,8,8,100.0,16.64,16.64,1.0,archives/20260524_000931/prover_results_old/20260518-152052-sets-rerank_off__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
sets,off,off,litellm_ollama_qwen2.5-coder_7b,20260524-013638,8,8,100.0,16.31,16.31,1.0,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-013638-sets-rerank_off__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
sets,off,off,litellm_ollama_qwen2.5-coder_7b,20260524-013638,8,8,100.0,16.31,16.31,1.0,datasets/results/20260524-013638-sets-rerank_off__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
sets,on,off,litellm_ollama_qwen2.5-coder_7b,20260518-152302,8,8,100.0,13.79,13.79,1.0,archives/20260524_000931/prover_results_old/20260518-152302-sets-rerank_on__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
sets,on,off,litellm_ollama_qwen2.5-coder_7b,20260524-013840,8,8,100.0,12.94,12.94,1.0,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-013840-sets-rerank_on__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
sets,on,off,litellm_ollama_qwen2.5-coder_7b,20260524-013840,8,8,100.0,12.94,12.94,1.0,datasets/results/20260524-013840-sets-rerank_on__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
sets,off,on,litellm_ollama_qwen2.5-coder_7b,20260518-140537,8,7,87.5,19.8,19.38,1.0,archives/20260524_000931/prover_results_old/20260518-140537-sets-rerank_off__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
sets,off,on,litellm_ollama_qwen2.5-coder_7b,20260524-014108,8,8,100.0,16.71,16.71,1.0,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-014108-sets-rerank_off__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
sets,off,on,litellm_ollama_qwen2.5-coder_7b,20260524-014108,8,8,100.0,16.71,16.71,1.0,datasets/results/20260524-014108-sets-rerank_off__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
sets,on,on,litellm_ollama_qwen2.5-coder_7b,20260518-140809,8,8,100.0,18.91,18.91,1.0,archives/20260524_000931/prover_results_old/20260518-140809-sets-rerank_on__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
sets,on,on,litellm_ollama_qwen2.5-coder_7b,20260524-014320,8,8,100.0,15.83,15.83,1.0,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-014320-sets-rerank_on__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
sets,on,on,litellm_ollama_qwen2.5-coder_7b,20260524-014320,8,8,100.0,15.83,15.83,1.0,datasets/results/20260524-014320-sets-rerank_on__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_easy_goals_test,off,off,litellm_openai_gpt-5.4-mini,20260526-012746,100,93,93.0,4.23,4.23,1.18,datasets/results/20260526-012746-hol_main_easy_goals_test-rerank_off__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
hol_main_easy_goals_test,off,off,litellm_openai_gpt-5.4-mini,20260526-173738,100,92,92.0,4.25,4.24,1.15,datasets/results/20260526-173738-hol_main_easy_goals_test-rerank_off__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
hol_main_easy_goals_test,on,off,litellm_openai_gpt-5.4-mini,20260526-024742,100,91,91.0,4.29,4.27,1.15,datasets/results/20260526-024742-hol_main_easy_goals_test-rerank_on__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
hol_main_easy_goals_test,on,off,litellm_openai_gpt-5.4-mini,20260526-230710,100,94,94.0,4.23,4.22,1.13,datasets/results/20260526-230710-hol_main_easy_goals_test-rerank_on__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
hol_main_easy_goals_test,off,on,litellm_openai_gpt-5.4-mini,20260526-031705,100,97,97.0,6.35,6.35,1.02,datasets/results/20260526-031705-hol_main_easy_goals_test-rerank_off__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
hol_main_easy_goals_test,off,on,litellm_openai_gpt-5.4-mini,20260526-234142,100,97,97.0,6.9,6.37,1.03,datasets/results/20260526-234142-hol_main_easy_goals_test-rerank_off__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
hol_main_easy_goals_test,off,on,litellm_openai_gpt-5.4-mini,20260527-100641,100,97,97.0,8.43,8.42,1.02,datasets/results/20260527-100641-hol_main_easy_goals_test-rerank_off__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
hol_main_easy_goals_test,on,on,litellm_openai_gpt-5.4-mini,20260526-054240,100,67,67.0,23.86,8.48,1.03,datasets/results/20260526-054240-hol_main_easy_goals_test-rerank_on__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
hol_main_easy_goals_test,on,on,litellm_openai_gpt-5.4-mini,20260527-021521,100,69,69.0,27.89,11.34,1.03,datasets/results/20260527-021521-hol_main_easy_goals_test-rerank_on__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
hol_main_easy_goals_test,on,on,litellm_openai_gpt-5.4-mini,20260527-104702,100,97,97.0,8.48,8.48,1.04,datasets/results/20260527-104702-hol_main_easy_goals_test-rerank_on__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
lists,off,off,litellm_openai_gpt-5.4-mini,20260526-002303,18,17,94.4,4.22,4.22,1.22,datasets/results/20260526-002303-lists-rerank_off__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
lists,off,off,litellm_openai_gpt-5.4-mini,20260526-161759,18,17,94.4,4.22,4.22,1.28,datasets/results/20260526-161759-lists-rerank_off__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
lists,on,off,litellm_openai_gpt-5.4-mini,20260526-002614,18,17,94.4,4.22,4.22,1.22,datasets/results/20260526-002614-lists-rerank_on__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
lists,on,off,litellm_openai_gpt-5.4-mini,20260526-162045,18,17,94.4,4.22,4.22,1.33,datasets/results/20260526-162045-lists-rerank_on__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
lists,off,on,litellm_openai_gpt-5.4-mini,20260526-003018,18,17,94.4,6.33,6.33,1.17,datasets/results/20260526-003018-lists-rerank_off__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
lists,off,on,litellm_openai_gpt-5.4-mini,20260526-163034,18,17,94.4,6.33,6.33,1.11,datasets/results/20260526-163034-lists-rerank_off__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
lists,on,on,litellm_openai_gpt-5.4-mini,20260526-003401,18,17,94.4,6.33,6.33,1.17,datasets/results/20260526-003401-lists-rerank_on__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
lists,on,on,litellm_openai_gpt-5.4-mini,20260526-163417,18,17,94.4,6.32,6.32,1.11,datasets/results/20260526-163417-lists-rerank_on__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
logic,off,off,litellm_openai_gpt-5.4-mini,20260525-234820,5,5,100.0,4.23,4.23,1.0,datasets/results/20260525-234820-logic-rerank_off__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
logic,off,off,litellm_openai_gpt-5.4-mini,20260526-152918,5,5,100.0,4.21,4.21,1.0,datasets/results/20260526-152918-logic-rerank_off__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
logic,on,off,litellm_openai_gpt-5.4-mini,20260525-234850,5,5,100.0,4.22,4.22,1.0,datasets/results/20260525-234850-logic-rerank_on__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
logic,on,off,litellm_openai_gpt-5.4-mini,20260526-152942,5,5,100.0,4.21,4.21,1.0,datasets/results/20260526-152942-logic-rerank_on__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
logic,off,on,litellm_openai_gpt-5.4-mini,20260525-234938,5,5,100.0,6.33,6.33,1.0,datasets/results/20260525-234938-logic-rerank_off__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
logic,off,on,litellm_openai_gpt-5.4-mini,20260526-153033,5,5,100.0,6.32,6.32,1.0,datasets/results/20260526-153033-logic-rerank_off__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
logic,on,on,litellm_openai_gpt-5.4-mini,20260525-235012,5,5,100.0,6.32,6.32,1.0,datasets/results/20260525-235012-logic-rerank_on__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
logic,on,on,litellm_openai_gpt-5.4-mini,20260526-153107,5,5,100.0,6.32,6.32,1.0,datasets/results/20260526-153107-logic-rerank_on__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
nat,off,off,litellm_openai_gpt-5.4-mini,20260526-000213,9,3,33.3,10.54,8.75,1.11,datasets/results/20260526-000213-nat-rerank_off__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
nat,off,off,litellm_openai_gpt-5.4-mini,20260526-154258,9,2,22.2,12.62,6.92,1.0,datasets/results/20260526-154258-nat-rerank_off__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
nat,on,off,litellm_openai_gpt-5.4-mini,20260526-000329,9,2,22.2,8.42,4.59,1.0,datasets/results/20260526-000329-nat-rerank_on__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
nat,on,off,litellm_openai_gpt-5.4-mini,20260526-154448,9,4,44.4,8.43,17.16,1.22,datasets/results/20260526-154448-nat-rerank_on__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
nat,off,on,litellm_openai_gpt-5.4-mini,20260526-001638,9,4,44.4,22.4,18.1,1.0,datasets/results/20260526-001638-nat-rerank_off__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
nat,off,on,litellm_openai_gpt-5.4-mini,20260526-160118,9,4,44.4,24.93,18.22,1.0,datasets/results/20260526-160118-nat-rerank_off__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
nat,on,on,litellm_openai_gpt-5.4-mini,20260526-001932,9,4,44.4,21.0,15.78,1.0,datasets/results/20260526-001932-nat-rerank_on__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
